grant_id,employee_id,tranche,vest_date,shares,status
G000001,E00001,1,2021-09-15,565,VESTED
G000001,E00001,2,2021-12-15,565,VESTED
G000001,E00001,3,2022-03-15,565,VESTED
G000001,E00001,4,2022-06-15,565,VESTED
G000001,E00001,5,2022-09-15,565,VESTED
G000001,E00001,6,2022-12-15,565,VESTED
G000001,E00001,7,2023-03-15,565,VESTED
G000001,E00001,8,2023-06-15,565,VESTED
G000001,E00001,9,2023-09-15,565,VESTED
G000001,E00001,10,2023-12-15,565,VESTED
G000001,E00001,11,2024-03-15,565,VESTED
G000001,E00001,12,2024-06-15,565,VESTED
G000001,E00001,13,2024-09-15,565,VESTED
G000001,E00001,14,2024-12-15,565,VESTED
G000001,E00001,15,2025-03-15,565,VESTED
G000001,E00001,16,2025-06-15,575,VESTED
G000002,E00001,1,2022-03-15,144,VESTED
G000002,E00001,2,2022-06-15,144,VESTED
G000002,E00001,3,2022-09-15,144,VESTED
G000002,E00001,4,2022-12-15,144,VESTED
G000002,E00001,5,2023-03-15,144,VESTED
G000002,E00001,6,2023-06-15,144,VESTED
G000002,E00001,7,2023-09-15,144,VESTED
G000002,E00001,8,2023-12-15,144,VESTED
G000002,E00001,9,2024-03-15,144,VESTED
G000002,E00001,10,2024-06-15,144,VESTED
G000002,E00001,11,2024-09-15,144,VESTED
G000002,E00001,12,2024-12-15,144,VESTED
G000002,E00001,13,2025-03-15,144,VESTED
G000002,E00001,14,2025-06-15,144,VESTED
G000002,E00001,15,2025-09-15,144,VESTED
G000002,E00001,16,2025-12-15,150,VESTED
G000003,E00001,1,2023-03-15,124,VESTED
G000003,E00001,2,2023-06-15,124,VESTED
G000003,E00001,3,2023-09-15,124,VESTED
G000003,E00001,4,2023-12-15,124,VESTED
G000003,E00001,5,2024-03-15,124,VESTED
G000003,E00001,6,2024-06-15,124,VESTED
G000003,E00001,7,2024-09-15,124,VESTED
G000003,E00001,8,2024-12-15,124,VESTED
G000003,E00001,9,2025-03-15,124,VESTED
G000003,E00001,10,2025-06-15,124,VESTED
G000003,E00001,11,2025-09-15,124,VESTED
G000003,E00001,12,2025-12-15,124,VESTED
G000003,E00001,13,2026-03-15,124,VESTED
G000003,E00001,14,2026-06-15,124,VESTED
G000003,E00001,15,2026-09-15,124,VESTED
G000003,E00001,16,2026-12-15,130,UNVESTED
G000004,E00001,1,2024-03-15,188,VESTED
G000004,E00001,2,2024-06-15,188,VESTED
G000004,E00001,3,2024-09-15,188,VESTED
G000004,E00001,4,2024-12-15,188,VESTED
G000004,E00001,5,2025-03-15,188,VESTED
G000004,E00001,6,2025-06-15,188,VESTED
G000004,E00001,7,2025-09-15,188,VESTED
G000004,E00001,8,2025-12-15,188,VESTED
G000004,E00001,9,2026-03-15,188,VESTED
G000004,E00001,10,2026-06-15,188,VESTED
G000004,E00001,11,2026-09-15,188,VESTED
G000004,E00001,12,2026-12-15,188,UNVESTED
G000004,E00001,13,2027-03-15,188,UNVESTED
G000004,E00001,14,2027-06-15,188,UNVESTED
G000004,E00001,15,2027-09-15,188,UNVESTED
G000004,E00001,16,2027-12-15,190,UNVESTED
G000005,E00001,1,2025-03-15,137,VESTED
G000005,E00001,2,2025-06-15,137,VESTED
G000005,E00001,3,2025-09-15,137,VESTED
G000005,E00001,4,2025-12-15,137,VESTED
G000005,E00001,5,2026-03-15,137,VESTED
G000005,E00001,6,2026-06-15,137,VESTED
G000005,E00001,7,2026-09-15,137,VESTED
G000005,E00001,8,2026-12-15,137,UNVESTED
G000005,E00001,9,2027-03-15,137,UNVESTED
G000005,E00001,10,2027-06-15,137,UNVESTED
G000005,E00001,11,2027-09-15,137,UNVESTED
G000005,E00001,12,2027-12-15,137,UNVESTED
G000005,E00001,13,2028-03-15,137,UNVESTED
G000005,E00001,14,2028-06-15,137,UNVESTED
G000005,E00001,15,2028-09-15,137,UNVESTED
G000005,E00001,16,2028-12-15,145,UNVESTED
G000006,E00001,1,2026-03-15,144,VESTED
G000006,E00001,2,2026-06-15,144,VESTED
G000006,E00001,3,2026-09-15,144,VESTED
