exception_id,error_type,source_system,employee_id,grant_id,tranche,severity,root_cause,recommended_action
EXC0001,WITHHOLDING_ROUNDING,BROKER,E00001,G000005,4,Low,Rounding difference in tax withholding calculation between broker and payroll systems due to fractional share valuations.,"Review and document the rounding methodology; if difference is under $5, accept as immaterial and close."
EXC0002,STALE_FMV_PAYROLL,PAYROLL,E00002,G000007,3,High,"Payroll is using stale FMV for a terminated employee, creating incorrect taxable income and withholding records.",Immediately correct payroll taxable income to use vesting-date FMV; recalculate and adjust tax withholding; reprocess W-2 if necessary.
EXC0003,POST_TERM_RELEASE,BROKER,E00002,G000008,2,High,Broker released shares post-termination when they should have been forfeited per equity plan rules.,Immediately contact broker to recall or reverse the release; verify termination date and plan forfeit rules; recover shares or cash if already sold.
EXC0004,DUPLICATE_RELEASE,BROKER,E00004,G000014,1,High,"Broker shows duplicate release of the same tranche, creating duplicate tax events and withholding.",Verify broker records for duplicate vesting transactions; request broker to correct or cancel one release and resubmit tax documents.
EXC0005,POST_TERM_RELEASE,BROKER,E00009,G000026,7,High,"Broker released a large tranche post-termination, indicating either a system error or violation of equity plan forfeit rules.",Immediately flag with broker and legal; verify termination eligibility for continued vesting; reverse if not eligible and adjust payroll/tax records.
EXC0006,POST_TERM_RELEASE,BROKER,E00009,G000027,2,High,"Broker released shares to a terminated employee post-termination date, violating plan forfeit provisions.",Contact broker to reverse release and recalculate vested balance as of termination date; amend payroll records and W-2 if already issued.
EXC0007,WITHHOLDING_ROUNDING,BROKER,E00013,G000042,4,Low,Minor rounding variance in tax withholding due to FMV calculation precision between systems.,"Compare withholding methodology; if variance is under $5, document and close as immaterial difference."
EXC0008,WITHHOLDING_ROUNDING,BROKER,E00014,G000044,4,Low,Rounding difference in tax withholding calculation on fractional share valuations.,"Review rounding approach for consistency; if variance is acceptable, document and close."
EXC0009,WITHHOLDING_ROUNDING,BROKER,E00017,G000054,1,Low,Rounding difference in withholding on low-value shares due to FMV precision.,"Verify calculation methodology is applied consistently; if variance is under $2, close as immaterial."
EXC0010,MISSING_PAYROLL,PAYROLL,E00017,G000055,5,High,"Payroll system has no tax withholding record for vested shares, creating unreported taxable income.",Calculate required tax withholding and file payroll adjustment with tax authority; determine if correction W-2 is needed.
EXC0011,WITHHOLDING_ROUNDING,BROKER,E00017,G000056,8,Low,Rounding difference in withholding calculation on fractional share values.,"Verify rounding is applied consistently across all tranches; if variance is under $3, close as immaterial."
EXC0012,WITHHOLDING_ROUNDING,BROKER,E00017,G000056,12,Low,Rounding variance in withholding due to FMV calculation precision on this tranche.,"Document rounding methodology applied; if variance is under $4, close as acceptable."
EXC0013,STALE_FMV_PAYROLL,PAYROLL,E00017,G000057,2,Medium,"Payroll is using an outdated FMV for current calculations, creating a data synchronization lag.","Refresh payroll FMV data from broker feed; recalculate taxable income and verify withholding amount; if immaterial, document and close."
EXC0014,POST_TERM_RELEASE,BROKER,E00021,G000063,4,High,Broker released shares to a terminated employee in violation of vesting schedule or plan forfeit rules.,Verify termination date and equity plan terms; contact broker to reverse release if employee is not eligible for continued vesting.
EXC0015,POST_TERM_RELEASE,BROKER,E00021,G000064,2,High,"Broker released a small tranche to a terminated employee post-termination, indicating a vesting eligibility error.",Confirm termination date and vesting rules; request broker reversal; correct payroll and W-2 records if withholding was already processed.
EXC0016,WITHHOLDING_ROUNDING,BROKER,E00022,G000066,13,Low,Rounding difference in withholding calculation due to FMV precision.,"Verify rounding methodology; if variance is under $3, document and close as immaterial."
EXC0017,ID_FORMAT_MISMATCH,PAYROLL,00023,G000072,3,Medium,"Grant ID format in payroll does not match broker system format, preventing accurate reconciliation.",Standardize grant ID format between payroll and broker; rerun matching logic to confirm records align.
EXC0018,ID_FORMAT_MISMATCH,PAYROLL,00023,G000072,5,Medium,"Grant ID format mismatch prevents matching the same grant across systems, creating duplicate records.",Standardize grant ID format in both systems; consolidate duplicate records once format is aligned.
EXC0019,WITHHOLDING_ROUNDING,BROKER,E00027,G000084,6,Low,Rounding variance in withholding on fractional share valuations.,"Review rounding methodology; if variance is under $5, document and close as acceptable."
EXC0020,MISSING_PAYROLL,PAYROLL,E00029,G000091,10,High,"Payroll system has no tax withholding record for a large vested tranche, leaving taxable income unreported.",Calculate required tax withholding immediately; file payroll adjustment and potentially corrected W-2 with tax authorities.
EXC0021,DUPLICATE_RELEASE,BROKER,E00030,G000095,5,High,"Broker shows duplicate release of the same tranche, creating duplicate taxable events.",Verify broker records for duplicate vesting; request broker to remove one duplicate release and resubmit corrected tax documentation.
EXC0022,POST_TERM_RELEASE,BROKER,E00036,G000113,10,High,"Broker released shares to a terminated employee post-termination, violating plan forfeit rules.",Contact broker to reverse release; verify termination eligibility; correct payroll and W-2 records if necessary.
EXC0023,POST_TERM_RELEASE,BROKER,E00036,G000114,6,High,"Broker released a tranche to a terminated employee after termination date, indicating a vesting or eligibility error.",Verify termination date and equity plan provisions; request broker reversal; recalculate payroll withholding and W-2.
EXC0024,ID_FORMAT_MISMATCH,PAYROLL,00042,G000131,10,Medium,"Grant ID format in payroll does not align with broker system, creating a matching failure.",Standardize grant ID format across both systems; rerun reconciliation to confirm alignment.
EXC0025,WITHHOLDING_ROUNDING,BROKER,E00044,G000135,1,Low,Rounding difference in tax withholding calculation due to FMV precision.,"Verify rounding approach is consistent; if variance is under $5, document and close as immaterial."
EXC0026,STALE_COUNTRY,PAYROLL,E00045,G000136,2,High,Payroll system is using stale country code which may apply incorrect tax withholding rules for this active employee's vested shares.,Update employee's country code in payroll system to match current HRIS record and recalculate tax withholding if applicable.
EXC0027,STALE_COUNTRY,PAYROLL,E00045,G000136,6,High,Payroll system is using stale country code which may apply incorrect tax withholding rules for this active employee's vested shares.,Update employee's country code in payroll system to match current HRIS record and recalculate tax withholding if applicable.
EXC0028,STALE_COUNTRY,PAYROLL,E00045,G000136,8,High,Payroll system is using stale country code which may apply incorrect tax withholding rules for this active employee's vested shares.,Update employee's country code in payroll system to match current HRIS record and recalculate tax withholding if applicable.
EXC0029,WITHHOLDING_ROUNDING,BROKER,E00048,G000142,1,Low,Broker and payroll systems differ by less than 1% in calculated withholding due to rounding of fractional cents.,Document as acceptable rounding variance and no action required.
EXC0030,WITHHOLDING_ROUNDING,BROKER,E00051,G000147,4,Medium,Broker and payroll systems differ by less than 1% in calculated withholding due to rounding; terminated employee may not require further action.,Verify terminated employee's final withholding calculation matches broker and close out grant.
EXC0031,DUPLICATE_RELEASE,BROKER,E00053,G000155,6,High,"Same grant and tranche appears to have been released twice on broker feed, risking duplicate share delivery and tax leakage.",Reconcile broker transaction logs to identify and reverse the duplicate release before settlement.
EXC0032,WITHHOLDING_ROUNDING,BROKER,E00053,G000155,9,Low,Broker and payroll systems differ by less than 1% in calculated withholding due to rounding of fractional cents.,Document as acceptable rounding variance and no action required.
EXC0033,WITHHOLDING_ROUNDING,BROKER,E00053,G000155,10,Low,Broker and payroll systems differ by less than 1% in calculated withholding due to rounding of fractional cents.,Document as acceptable rounding variance and no action required.
EXC0034,DUPLICATE_RELEASE,BROKER,E00053,G000157,1,High,"Same grant and tranche appears to have been released twice on broker feed, risking duplicate share delivery and tax leakage.",Reconcile broker transaction logs to identify and reverse the duplicate release before settlement.
EXC0035,DUPLICATE_RELEASE,BROKER,E00055,G000162,2,High,"Same grant and tranche appears to have been released twice on broker feed, risking duplicate share delivery and tax leakage.",Reconcile broker transaction logs to identify and reverse the duplicate release before settlement.
EXC0036,POST_TERM_RELEASE,BROKER,E00060,G000178,3,High,"Broker released shares after employee termination, which may violate vesting rules and create tax compliance exposure.","Confirm post-termination release is authorized per grant agreement; if not, initiate share recovery from broker."
