employee_id,offering_start,purchase_date,salary,contribution_pct,contribution,offering_start_fmv,purchase_date_fmv,lookback_fmv,purchase_price,shares_purchased,purchase_cost,market_value_at_purchase,discount_value,cash_refunded,irs_limit_capped
E00001,2022-01-01,2022-06-30,311000.0,0.05,7775.0,29.411,15.159,15.159,12.8851,603,7769.72,9140.88,1371.16,5.28,False
E00007,2022-01-01,2022-06-30,132000.0,0.1,6600.0,29.411,15.159,15.159,12.8851,512,6597.17,7761.41,1164.24,2.83,False
E00026,2022-01-01,2022-06-30,168000.0,0.1,8400.0,29.411,15.159,15.159,12.8851,651,8388.2,9868.51,1480.31,11.8,False
E00036,2022-01-01,2022-06-30,149000.0,0.1,7450.0,29.411,15.159,15.159,12.8851,578,7447.59,8761.9,1314.31,2.41,False
E00056,2022-01-01,2022-06-30,162000.0,0.05,4050.0,29.411,15.159,15.159,12.8851,314,4045.92,4759.93,714.01,4.08,False
E00063,2022-01-01,2022-06-30,306000.0,0.05,7650.0,29.411,15.159,15.159,12.8851,593,7640.86,8989.29,1348.43,9.14,False
E00064,2022-01-01,2022-06-30,188000.0,0.15,14100.0,29.411,15.159,15.159,12.8851,850,10952.33,12885.15,1932.82,3147.67,True
E00078,2022-01-01,2022-06-30,132000.0,0.1,6600.0,29.411,15.159,15.159,12.8851,512,6597.17,7761.41,1164.24,2.83,False
E00096,2022-01-01,2022-06-30,80000.0,0.1,4000.0,29.411,15.159,15.159,12.8851,310,3994.38,4699.29,704.91,5.62,False
E00098,2022-01-01,2022-06-30,155000.0,0.05,3875.0,29.411,15.159,15.159,12.8851,300,3865.53,4547.7,682.17,9.47,False
E00111,2022-01-01,2022-06-30,100000.0,0.05,2500.0,29.411,15.159,15.159,12.8851,194,2499.71,2940.85,441.14,0.29,False
E00115,2022-01-01,2022-06-30,131000.0,0.1,6550.0,29.411,15.159,15.159,12.8851,508,6545.63,7700.77,1155.14,4.37,False
E00126,2022-01-01,2022-06-30,183000.0,0.05,4575.0,29.411,15.159,15.159,12.8851,355,4574.21,5381.45,807.24,0.79,False
E00129,2022-01-01,2022-06-30,120000.0,0.15,9000.0,29.411,15.159,15.159,12.8851,698,8993.8,10580.98,1587.18,6.2,False
E00152,2022-01-01,2022-06-30,115000.0,0.1,5750.0,29.411,15.159,15.159,12.8851,446,5746.75,6760.91,1014.16,3.25,False
E00155,2022-01-01,2022-06-30,129000.0,0.05,3225.0,29.411,15.159,15.159,12.8851,250,3221.28,3789.75,568.47,3.72,False
E00161,2022-01-01,2022-06-30,116000.0,0.15,8700.0,29.411,15.159,15.159,12.8851,675,8697.44,10232.33,1534.89,2.56,False
E00197,2022-01-01,2022-06-30,103000.0,0.15,7725.0,29.411,15.159,15.159,12.8851,599,7718.17,9080.24,1362.07,6.83,False
E00210,2022-01-01,2022-06-30,221000.0,0.1,11050.0,29.411,15.159,15.159,12.8851,850,10952.33,12885.15,1932.82,97.67,True
E00229,2022-01-01,2022-06-30,117000.0,0.05,2925.0,29.411,15.159,15.159,12.8851,227,2924.92,3441.09,516.17,0.08,False
E00239,2022-01-01,2022-06-30,154000.0,0.15,11550.0,29.411,15.159,15.159,12.8851,850,10952.33,12885.15,1932.82,597.67,True
E00245,2022-01-01,2022-06-30,226000.0,0.05,5650.0,29.411,15.159,15.159,12.8851,438,5643.67,6639.64,995.97,6.33,False
E00255,2022-01-01,2022-06-30,126000.0,0.05,3150.0,29.411,15.159,15.159,12.8851,244,3143.96,3698.8,554.84,6.04,False
E00267,2022-01-01,2022-06-30,132000.0,0.05,3300.0,29.411,15.159,15.159,12.8851,256,3298.59,3880.7,582.11,1.41,False
E00273,2022-01-01,2022-06-30,227000.0,0.05,5675.0,29.411,15.159,15.159,12.8851,440,5669.44,6669.96,1000.52,5.56,False
E00311,2022-01-01,2022-06-30,150000.0,0.15,11250.0,29.411,15.159,15.159,12.8851,850,10952.33,12885.15,1932.82,297.67,True
E00332,2022-01-01,2022-06-30,189000.0,0.1,9450.0,29.411,15.159,15.159,12.8851,733,9444.78,11111.55,1666.77,5.22,False
E00334,2022-01-01,2022-06-30,204000.0,0.1,10200.0,29.411,15.159,15.159,12.8851,791,10192.11,11990.77,1798.66,7.89,False
E00352,2022-01-01,2022-06-30,194000.0,0.1,9700.0,29.411,15.159,15.159,12.8851,752,9689.6,11399.57,1709.97,10.4,False
E00360,2022-01-01,2022-06-30,93000.0,0.05,2325.0,29.411,15.159,15.159,12.8851,180,2319.32,2728.62,409.3,5.68,False
E00379,2022-01-01,2022-06-30,158000.0,0.15,11850.0,29.411,15.159,15.159,12.8851,850,10952.33,12885.15,1932.82,897.67,True
E00384,2022-01-01,2022-06-30,82000.0,0.15,6150.0,29.411,15.159,15.159,12.8851,477,6146.19,7230.84,1084.65,3.81,False
E00388,2022-01-01,2022-06-30,138000.0,0.15,10350.0,29.411,15.159,15.159,12.8851,803,10346.74,12172.68,1825.94,3.26,False
E00393,2022-01-01,2022-06-30,123000.0,0.1,6150.0,29.411,15.159,15.159,12.8851,477,6146.19,7230.84,1084.65,3.81,False
E00408,2022-01-01,2022-06-30,193000.0,0.1,9650.0,29.411,15.159,15.159,12.8851,748,9638.05,11338.93,1700.88,11.95,False
E00413,2022-01-01,2022-06-30,212000.0,0.05,5300.0,29.411,15.159,15.159,12.8851,411,5295.78,6230.35,934.57,4.22,False
E00474,2022-01-01,2022-06-30,97000.0,0.05,2425.0,29.411,15.159,15.159,12.8851,188,2422.4,2849.89,427.49,2.6,False
E00482,2022-01-01,2022-06-30,154000.0,0.1,7700.0,29.411,15.159,15.159,12.8851,597,7692.4,9049.92,1357.52,7.6,False
E00001,2022-01-01,2022-12-31,311000.0,0.05,7775.0,29.411,14.614,14.614,12.4219,247,3068.21,3609.66,541.45,4706.79,True
E00007,2022-01-01,2022-12-31,132000.0,0.1,6600.0,29.411,14.614,14.614,12.4219,338,4198.6,4939.53,740.93,2401.4,True
E00026,2022-01-01,2022-12-31,168000.0,0.1,8400.0,29.411,14.614,14.614,12.4219,199,2471.96,2908.19,436.23,5928.04,True
E00036,2022-01-01,2022-12-31,149000.0,0.1,7450.0,29.411,14.614,14.614,12.4219,272,3378.76,3975.01,596.25,4071.24,True
E00056,2022-01-01,2022-12-31,162000.0,0.05,4050.0,29.411,14.614,14.614,12.4219,326,4049.54,4764.16,714.62,0.46,False
E00063,2022-01-01,2022-12-31,306000.0,0.05,7650.0,29.411,14.614,14.614,12.4219,257,3192.43,3755.8,563.37,4457.57,True
E00064,2022-01-01,2022-12-31,188000.0,0.15,14100.0,29.411,14.614,14.614,12.4219,0,0.0,0.0,0.0,14100.0,True
E00078,2022-01-01,2022-12-31,132000.0,0.1,6600.0,29.411,14.614,14.614,12.4219,338,4198.6,4939.53,740.93,2401.4,True
E00096,2022-01-01,2022-12-31,80000.0,0.1,4000.0,29.411,14.614,14.614,12.4219,322,3999.85,4705.71,705.86,0.15,False
E00098,2022-01-01,2022-12-31,155000.0,0.05,3875.0,29.411,14.614,14.614,12.4219,311,3863.21,4544.95,681.74,11.79,False
E00111,2022-01-01,2022-12-31,100000.0,0.05,2500.0,29.411,14.614,14.614,12.4219,201,2496.8,2937.41,440.61,3.2,False
E00115,2022-01-01,2022-12-31,131000.0,0.1,6550.0,29.411,14.614,14.614,12.4219,342,4248.29,4997.99,749.7,2301.71,True
E00126,2022-01-01,2022-12-31,183000.0,0.05,4575.0,29.411,14.614,14.614,12.4219,368,4571.26,5377.95,806.69,3.74,False
E00129,2022-01-01,2022-12-31,120000.0,0.15,9000.0,29.411,14.614,14.614,12.4219,152,1888.13,2221.33,333.2,7111.87,True
E00152,2022-01-01,2022-12-31,115000.0,0.1,5750.0,29.411,14.614,14.614,12.4219,404,5018.45,5904.06,885.61,731.55,True
E00155,2022-01-01,2022-12-31,129000.0,0.05,3225.0,29.411,14.614,14.614,12.4219,259,3217.27,3785.03,567.76,7.73,False
